topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
50,"Fleets, armies and generals: war by sea and land",thematic_discourse,included,"43 chunks, 32 works, Young Admiral 16 %. News of battle: fleets that fly, generals descried from the fort, ships found safe, armies within ken; Shirley, Antony and Cleopatra, The Tempest, Goffe, Massinger. Cross-work theme; T57 is the trading and piracy side of the sea.",user_confirmed,1052_00009;890_00026;860_00031;961_00040;1073_00042;992_00013;896_00024,"Fleets, armies and generals: war by sea and land",
51,"Parents and sons: blessing, birthright and disobedience",thematic_discourse+shared_narrative,included,"45 chunks, 26 works, Jacob and Esau 24 %, top three 42 %. Fathers and mothers with their sons: the favoured and the disobedient child, the blessing and the birthright, the prodigal's departure; Udall, Ingelend, Celestina (Parmeno), Lear (Edmund), Lyly. Cross-work, with Jacob and Esau's share noted.",user_confirmed,91_00007;94_00005;952_00083;623_00007;1129_00008;239_00000;22_00017,"Parents and children: blessing, birthright and inheritance",sample review supports parental blessing and contested inheritance. A full check of The Emperor of the East adds a daughter's withheld legacy; use children rather than sons in the label. Reviewed excerpts (three different works): 1004_00001; 977_00007; 91_00025. Full-chunk follow-up: 977_00007.
52,"Prodigals, portions and poor kin",thematic_discourse,included,"44 chunks, 24 works, New Wonder 16 %, top three 39 %. Prodigal heirs, brothers asking for their portions, a father crying for bread at the grate, wills and charity; Heywood and Rowley, Wilkins, London Prodigal, Middleton, Scornful Lady. Cross-work theme; T27 (uncles and nephews) is its comic neighbour.",user_confirmed,978_00036;586_00022;521_00003;765_00037;575_00030;640_00005;753_00006,"Prodigals, portions and poor kin",
53,"The crown: kingship claimed, resigned and seized",thematic_discourse,pending,"42 chunks, 27 works, Nobody and Somebody 12 %. The crown as object: Edward II resigning it, Elidure refusing it, Tarquin and the protector, 'no murder in a king'; state, reign, sovereign. Cross-work theme; close to T38 (royal deaths) and T43.",user_pending,540_00010;562_00008;245_00031;216_00020;1117_00001;242_00005;314_00029,"The crown: kingship claimed, resigned and seized","sample review supports a royal-power core, but full checks of The Dumb Knight and Love's Labour's Lost mainly show courtship, lost favour and love verse. Keep the crown-transfer hypothesis pending; do not claim universal succession content. Reviewed excerpts (three different works): 1153_00028; 653_00012; 315_00018. Full-chunk follow-up: 653_00012; 315_00018."
54,Antony and Cleopatra,shared_narrative,included,"34 chunks, 12 works, Herbert's Antonius 35 %, Daniel's Cleopatra 24 %, top three 71 %. One story — Antony's defeat and Cleopatra's death — in the closet tragedies (Herbert, Daniel, May); Shakespeare's version sits in T2/T50. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,187_00024;251_00001;1099_00020;1050_00016;993_00026;420_00020;813_00004,"Antony and Cleopatra: love, death and mourning","sample review supports an Antony/Cleopatra mourning and death core, with comic suicidal courtship at the boundary in Hyde Park. Include as a narrative-related domain, not a claim that every member belongs to that story. Reviewed excerpts (three different works): 251_00017; 187_00024; 1050_00016"
55,The Fairy Queen and her fairies,shared_narrative+recurring_role_or_name,included,"35 chunks, 9 works, Whore of Babylon 43 %, top three 77 %. The Fairy Queen (Titania as Elizabeth), Oberon, Mab and the fairies in Dekker's allegory, Randolph's Amyntas, A Midsummer Night's Dream and two royal entertainments; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,569_00003;1091_00039;385_00024;128_00012;987_00025;740_00012;149_00007,"Fairies, fairy queens and enchanted desire","sample review supports fairy figures, fantasy and desire. Full checks identify Oberon/Mab impersonation in The Jealous Lovers and Queen Mab in Romeo and Juliet. Include as a shared subject domain, not one uniform narrative. Reviewed excerpts (three different works): 740_00011; 987_00025; 294_00008. Full-chunk follow-up: 987_00025; 294_00008"
56,"Magic, spells and conjuring",thematic_discourse,included,"35 chunks, 21 works (2 with 3+), Comus 14 %. Magic as art and threat: Faustus' necromantic books, Comus' charms, Medea's spells, conjured apparitions; Marlowe, Milton, Seneca, Barry, Goffe, Heywood. Cross-work theme (small).",user_confirmed,1057_00008;476_00001;79_00020;740_00020;616_00011;1008_00012;719_00020,"Magic, spells and conjuring",
57,"Ships, merchants and pirates",thematic_discourse,pending,"37 chunks, 22 works, Englishmen for My Money 11 %. Voyages and their losses: ships taken by galleys, merchants' news, pirates, sailing home, shipwreck as metaphor; Haughton, Eastward Ho, Daborne, Roaring Girl, Massinger. Cross-work theme (small).",user_pending,762_00008;514_00028;698_00002;696_00002;978_00026;930_00023;699_00036,"Ships, merchants and pirates",sample review does not establish a uniform maritime domain. Full checks show nautical metaphor during robbery in Thierry and murder/adultery investigation in The Widow's Tears. Keep pending; consider crime/adventure only after further evidence. Reviewed excerpts (three different works): 826_00033; 751_00011; 699_00037. Full-chunk follow-up: 826_00033; 699_00037.
58,"Jack Daw, Dauphine and the ladies (Epicene)",recurring_role_or_name+shared_narrative,contextual_only,"31 chunks, 16 works, Epicene 39 %, top three 55 %. Jonson's Epicene (Jack Daw, Dauphine, the collegiate ladies) with chunks from other plays in which someone is called Jack; 25 of the 31 masked chunks still contain 'Jack', a nickname the cast lists do not carry — a possible link, not a proven cause. No shared subject beyond the play; single-work cluster unless reading shows one.",user_confirmed,704_00022;1056_00026;1051_00028;434_00034;1071_00008;527_00038;920_00010,Gallant talk and courtship: an Epicene-centred group,"sample review finds some gallant/courtship commonality but not a clear distinct theme across the sampled social and poetic exchanges. Retain contextual-only provisionally. Residual nicknames are a possible influence, not a demonstrated cause. Reviewed excerpts (three different works): 1000_00005; 1054_00008; 444_00009."
59,"Andrea, Horatio and the Spanish court (1 Jeronimo)",shared_narrative+recurring_role_or_name,included,"36 chunks, 13 works, 1 Jeronimo 39 %, top three 64 %. The Spanish–Portuguese court of Kyd's world (Andrea, Horatio, Bel-imperia, Lorenzo, the tribute) with Dekker's Spanish plays and The Cid beside it; the Spanish Tragedy itself contributes two chunks. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,520_00012;1016_00015;953_00005;190_00001;190_00007;1150_00005;993_00029,"Spanish courts: war, honour and courtship","sample review supports a Spanish-court domain spanning war, honour, reward and courtship. Revise the Jeronimo-specific label; the Alphonsus sample shares royal/military concerns but is not the same narrative. Report concentration if this domain drives a finding. Reviewed excerpts (three different works): 520_00014; 190_00007; 357_00006."
60,Emperors and vassal kings: imperial Rome,thematic_discourse+shared_narrative,included,"33 chunks, 15 works (6 with 3+), Virgin Martyr 18 %, top three 42 %. The empire as setting: Caesar as emperor, vassal kings crowned and uncrowned, Dioclesian, Herod under Rome, Messalina, Charles the Emperor; Dekker and Massinger, Markham, Richards, Daniel, Chapman. Imperial counterpart of T2 (republican Rome); comparable, with the small size noted.",user_confirmed,843_00004;848_00010;1131_00023;595_00032;710_00010;251_00008;854_00020,"Imperial Rome: rulers, favour and political exemplars","sample review supports Roman rulers, favour and political exemplars. The full Bussy sample invokes Brutus, Caesar and Antigone in an argument about authority. Include with a label that permits political analogy outside a Roman setting. Reviewed excerpts (three different works): 848_00035; 1131_00004; 710_00010. Full-chunk follow-up: 710_00010"
61,Sir Giles Goosecap and his knights,shared_narrative+recurring_role_or_name,contextual_only,"34 chunks, 3 works, Sir Giles Goosecap 59 %, New Way to Pay Old Debts 26 %, Constant Maid 15 %. One play's knights and ladyships with two later plays that share its ladyship-and-table register. Single-work cluster.",user_confirmed,538_00006;997_00012;1146_00024,Sir Giles Goosecap and related knightly dialogue,sample review finds Goosecap-centred knightly dialogue with different marriage and identity plots in the other two works. Retain contextual-only; shared Sir Giles/Gyles references suggest a possible influence but do not prove causation. Reviewed excerpts (three different works): 538_00028; 997_00023; 1146_00026.
62,"The courtier as a type: fashion, affectation and foreign manners",thematic_discourse,included,"30 chunks, 17 works, Cynthia's Revels 17 %. Satire of the courtier: shrugs and faces, hat and band, French and Italian fashions, the compliment lesson, the courtier's dictionary; Jonson, Cooke, Glapthorne, Ford, Edwards, Massinger. Cross-work theme (the smallest cluster).",user_confirmed,413_00030;732_00036;1144_00007;430_00013;914_00009;100_00025;977_00006,"The courtier as a type: fashion, affectation and foreign manners",
